Year,Winner,Hosting Country,Runner-up
1975,West Indies,England,Australia
1979,West Indies,England,England
1983,India,England,West Indies
1987,Australia,India and Pakistan,England
1992,Pakistan,Australia and New Zealand,England
1996,Sri Lanka,Pakistan and India,Australia
1999,Australia,England,Pakistan
2003,Australia,South Africa,India
2007,Australia,West Indies,Sri Lanka
2011,India,India and Bangladesh,Sri Lanka
2015,Australia,Australia and New Zealand,New Zealand
2019,England,England and Wales,New Zealand
2023,Australia,India,India
